repository	private	default_branch	profiles	workflows	hosted	artifacts	cache	ghcr
belilovsky/qdev-guardian	true	main	qdev-ci	3	0	0	0	0
belilovsky/qdev-mail-platform	true	main	qdev-ci,qdev-ci-docker	4	0	0	0	0
belilovsky/qdev-run-site	true	main	qdev-ci,qdev-ci-browser	3	2	0	0	0
belilovsky/qdev-runner-control-plane	true	main	qdev-ci	3	2	0	0	0
belilovsky/qradio	true	codex/qradio-transcript-sharing-20260803	qdev-ci,qdev-ci-docker	5	2	0	0	0
belilovsky/qsign-translator	false	main	qdev-ci	5	2	0	0	0
belilovsky/ref26-data-platform	true	main	qdev-ci	3	0	0	0	0
belilovsky/regional-brief	true	main	qdev-ci,qdev-ci-browser	3	0	0	0	0
belilovsky/sgeo-platform	true	main	qdev-ci	8	0	0	0	0
belilovsky/Shadowbroker	false	main	qdev-ci,qdev-ci-docker	2	8	2	0	1
belilovsky/shelter-kz	true	main	qdev-ci,qdev-ci-docker	6	0	0	0	0
belilovsky/taskqueue	true	main	qdev-ci	4	0	0	0	0
belilovsky/tazy-platform	true	main	qdev-ci	3	0	0	0	0
belilovsky/tazy-pro	true	main	qdev-ci,qdev-ci-browser	3	0	0	0	0
belilovsky/tazy-pro-navigator	true	main	qdev-ci	3	0	0	0	0
belilovsky/tokaev-module	true	master	qdev-ci	7	0	0	0	0
belilovsky/total-kz	true	main	qdev-ci,qdev-ci-docker	5	1	1	0	0
belilovsky/vps-pipelines	true	main	qdev-ci,qdev-ci-docker	4	0	0	0	0
